Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01011;Metz-Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;11.0;11.31980137322218;µg-m3;97.0;95.0;93.0;R;1;49.119442;6.180833
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01012;Metz-Borny;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;10.0;10.329131652661086;µg-m3;98.0;100.0;98.0;R;1;49.110283;6.223336
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR01014;Pont-à-Mousson;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;12.0;12.009902710215398;µg-m3;98.0;100.0;98.0;R;1;48.915;6.058336
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01020;Thionville-Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;13.0;13.14754977942054;µg-m3;95.0;100.0;95.0;R;1;49.358337;6.156942
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01059;HAYANGE-MARSPICH;Périurbaine;PM10;Industrielle;Oui;mesures fixes;Moy. annuelle;12.0;12.062897444791336;µg-m3;98.0;100.0;98.0;R;1;49.3374;6.08207
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01064;Metz- Pont Grilles;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;12.0;12.420119521912367;µg-m3;97.0;100.0;97.0;R;1;49.12508;6.181219
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02008;Port de Bouc Leque;Urbaine;PM10;Industrielle;Oui;mesures fixes;Moy. annuelle;16.0;16.271079812206512;µg-m3;98.0;99.0;97.0;R;1;43.401952;4.981919
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR02022;Arles;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;18.0;17.543078730904895;µg-m3;97.0;100.0;97.0;R;1;43.675114;4.62921
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02029;Chateauneuf La Mede;Périurbaine;PM10;Industrielle;Oui;mesures fixes;Moy. annuelle;21.0;21.099778652238054;µg-m3;94.0;98.0;93.0;R;1;43.399546;5.113214
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02041;SALON;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;14.0;13.757178928038545;µg-m3;99.0;100.0;99.0;R;1;43.639002;5.101097
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02043;Marignane;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;18.0;18.49783310281232;µg-m3;99.0;100.0;99.0;R;1;43.4165306;5.222281
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03006;MARSEILLE RABATAU;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;26.0;26.241730339720238;µg-m3;98.0;98.0;97.0;R;1;43.276451;5.39736
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03014;MARSEILLE ST LOUIS;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;18.0;18.340126582278472;µg-m3;99.0;100.0;99.0;R;1;43.348048;5.360119
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03021;AIX ROY RENE;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;19.0;18.925634638196883;µg-m3;98.0;98.0;96.0;R;1;43.524075;5.448164
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR03027;PLAN AUPS/STE  BAUME;Rurale près des villes;PM10;Fond;Oui;mesures fixes;Moy. annuelle;11.0;11.111296211775457;µg-m3;100.0;100.0;100.0;R;1;43.335201;5.727365
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03029;AIX CENTRE ECOLE ART;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;14.0;14.32886202487513;µg-m3;98.0;100.0;98.0;R;1;43.530285;5.440912
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03030;GARDANNE;Périurbaine;PM10;Industrielle;Oui;mesures fixes;Moy. annuelle;20.0;20.14706358381503;µg-m3;99.0;100.0;98.0;R;1;43.453584;5.466672
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03043;MARSEILLE 5 AVENUES;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;17.0;17.297465355916184;µg-m3;96.0;100.0;96.0;R;1;43.305287;5.394716
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR03067;BRIGNOLES;Périurbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;16.0;15.80055677995596;µg-m3;98.0;100.0;98.0;R;1;43.398731;6.075611
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03068;TOULON FOCH;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;26.0;26.360691569330427;µg-m3;98.0;100.0;98.0;R;1;43.126821;5.921605
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR03070;ESTEREL;Périurbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;17.0;17.276393481341536;µg-m3;96.0;100.0;96.0;R;1;43.437874;6.76839
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03071;TOULON CLARET;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;18.0;17.947077772664464;µg-m3;99.0;100.0;99.0;R;1;43.131113;5.924184
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03080;AVIGNON   MAIRIE;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;16.0;15.573976878612747;µg-m3;99.0;99.0;98.0;R;1;43.949673;4.804341
2024/01/01 00:00:00;2024/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03091;Avignon Rocade De Gaulle;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;24.0;24.488083381586545;µg-m3;98.0;100.0;98.0;R;1;43.9314;4.826875
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04002;GENNEVILLIERS;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;14.0;14.24692620569437;µg-m3;98.0;100.0;98.0;R;1;48.930319;2.29435
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;15.0;15.109813246723126;µg-m3;98.0;100.0;98.0;R;1;48.891666;2.346667
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04012;Place Victor Basch;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;19.0;18.87860798362332;µg-m3;95.0;12.0;11.0;N;-1;48.827778;2.3275
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04023;CERGY-PONTOISE;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;11.0;11.169073238458887;µg-m3;98.0;100.0;98.0;R;1;49.04639;2.043056
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04034;VITRY-SUR-SEINE;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;13.0;13.084100761570069;µg-m3;97.0;100.0;97.0;R;1;48.775897;2.375788
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04048;Zone Rurale Nord;Rurale régionale;PM10;Fond;Oui;mesures fixes;Moy. annuelle;10.0;10.270829033367738;µg-m3;99.0;100.0;99.0;R;1;49.100277;2.343889
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;16.0;15.596705882352918;µg-m3;82.0;100.0;82.0;N;-1;48.86212;2.344616
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04058;Auto A1 -Saint-Denis;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;26.0;26.078312182741136;µg-m3;90.0;100.0;90.0;R;1;48.925278;2.356667
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04066;Zone rurale Sud;Rurale régionale;PM10;Fond;Oui;mesures fixes;Moy. annuelle;10.0;10.277231176329035;µg-m3;95.0;100.0;95.0;R;1;48.364166;2.236944
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04098;LOGNES;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;13.0;13.153057471264324;µg-m3;99.0;100.0;99.0;R;1;48.84028;2.635278
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04099;NOGENT-SUR-MARNE;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;14.0;14.428298050472403;µg-m3;95.0;100.0;95.0;R;1;48.840557;2.484444
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04118;Place de l'Opéra;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;19.0;19.485441854667844;µg-m3;91.0;100.0;91.0;R;1;48.870274;2.3325
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04122;RN6-MELUN;Périurbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;18.0;18.477200187749414;µg-m3;97.0;100.0;97.0;R;1;48.528057;2.653611
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04123;RN2-PANTIN;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;22.0;22.375706894477126;µg-m3;95.0;100.0;95.0;R;1;48.90222;2.390833
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04131;Boulevard Haussmann;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;20.0;20.143384721583118;µg-m3;99.0;100.0;99.0;R;1;48.873333;2.330278
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04156;BOBIGNY;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;13.0;12.6841710860041;µg-m3;99.0;100.0;99.0;R;1;48.902504;2.4525
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04158;Zone Rurale NO;Rurale régionale;PM10;Fond;Oui;mesures fixes;Moy. annuelle;11.0;10.602399906345138;µg-m3;97.0;100.0;97.0;R;1;49.063087;1.866381
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04173;RD934 Coulommiers;Périurbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;16.0;16.428449784206236;µg-m3;98.0;100.0;98.0;R;1;48.8059;3.084158
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04179;PARIS Stade Lenglen;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;14.0;13.647990613083007;µg-m3;90.0;43.0;39.0;N;-1;48.830387;2.269889
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04181;RAMBOUILLET;Périurbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;11.0;10.900618840247569;µg-m3;99.0;100.0;99.0;R;1;48.63373;1.830529
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04319;TREMBLAY-EN-FRANCE;Périurbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;14.0;13.89511002444988;µg-m3;98.0;100.0;98.0;R;1;48.95555;2.575278
2024/01/01 00:00:00;2024/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04329;Bld peripherique Est;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;21.0;20.60845070422541;µg-m3;97.0;99.0;96.0;R;1;48.838615;2.412781
