Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01011;Metz-Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;11.0;10.755896029569554;µg-m3;97.0;99.0;96.0;R;1;49.119442;6.180833
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01012;Metz-Borny;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;10.0;10.242458425398349;µg-m3;98.0;100.0;98.0;R;1;49.110283;6.223336
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR01014;Pont-à-Mousson;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;13.0;12.692689262741187;µg-m3;92.0;100.0;92.0;R;1;48.915;6.058336
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01019;Thionville-Piscine;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;7.0;7.318918918918914;µg-m3;87.0;4.0;4.0;N;-1;49.36861;6.160831
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01020;Thionville-Centre;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;15.0;15.376261887344535;µg-m3;94.0;100.0;94.0;R;1;49.358337;6.156942
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01059;HAYANGE-MARSPICH;Périurbaine;PM10;Industrielle;Oui;mesures fixes;Moy. annuelle;13.0;12.575740892585225;µg-m3;98.0;100.0;97.0;R;1;49.3374;6.08207
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01064;Metz- Pont Grilles;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;13.0;12.74739911359926;µg-m3;98.0;100.0;98.0;R;1;49.12508;6.181219
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02008;Port de Bouc Leque;Urbaine;PM10;Industrielle;Oui;mesures fixes;Moy. annuelle;21.0;21.35899670277906;µg-m3;97.0;100.0;97.0;R;1;43.401952;4.981919
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02009;Port Saint Louis;Périurbaine;PM10;Industrielle;Oui;mesures fixes;Moy. annuelle;17.0;17.447236533957803;µg-m3;98.0;99.0;97.0;R;1;43.39378;4.801024
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR02022;Arles;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;18.0;17.878112942827194;µg-m3;98.0;99.0;98.0;R;1;43.675114;4.62921
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02029;Chateauneuf La Mede;Périurbaine;PM10;Industrielle;Oui;mesures fixes;Moy. annuelle;21.0;21.484453372291245;µg-m3;96.0;98.0;94.0;R;1;43.399546;5.113214
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02041;SALON;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;15.0;14.756946197086139;µg-m3;100.0;100.0;100.0;R;1;43.639002;5.101097
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02043;Marignane;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;21.0;20.533683105981154;µg-m3;98.0;100.0;98.0;R;1;43.4165306;5.222281
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03006;MARSEILLE RABATAU;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;37.0;37.0479575351949;µg-m3;99.0;100.0;99.0;R;1;43.276451;5.39736
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03014;MARSEILLE ST LOUIS;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;20.0;20.061325966850845;µg-m3;98.0;93.0;91.0;R;1;43.348048;5.360119
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03021;AIX ROY RENE;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;20.0;20.24651243493346;µg-m3;99.0;100.0;99.0;R;1;43.524075;5.448164
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR03027;PLAN AUPS/STE  BAUME;Rurale près des villes;PM10;Fond;Oui;mesures fixes;Moy. annuelle;12.0;12.268872788072976;µg-m3;82.0;99.0;82.0;N;-1;43.335201;5.727365
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03029;AIX CENTRE ECOLE ART;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;16.0;15.617660550458659;µg-m3;100.0;100.0;100.0;R;1;43.530285;5.440912
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03030;GARDANNE;Périurbaine;PM10;Industrielle;Oui;mesures fixes;Moy. annuelle;21.0;21.01418996995603;µg-m3;99.0;100.0;99.0;R;1;43.453584;5.466672
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03043;MARSEILLE 5 AVENUES;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;19.0;18.7451518004236;µg-m3;97.0;100.0;97.0;R;1;43.305287;5.394716
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR03067;BRIGNOLES;Périurbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;16.0;16.37607198937069;µg-m3;95.0;100.0;95.0;R;1;43.398731;6.075611
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03068;TOULON FOCH;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;27.0;26.87708910433981;µg-m3;99.0;100.0;99.0;R;1;43.126821;5.921605
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03069;HYERES;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;17.0;16.549572649572646;µg-m3;81.0;5.0;4.0;N;-1;43.119737;6.131319
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZRE02;ZR PROVENCE-ALPES-COTE-D-AZUR;FR03070;ESTEREL;Périurbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;18.0;17.638233928985866;µg-m3;99.0;99.0;98.0;R;1;43.437874;6.76839
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03071;TOULON CLARET;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;20.0;20.408451844143773;µg-m3;99.0;100.0;99.0;R;1;43.131113;5.924184
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03080;AVIGNON   MAIRIE;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;18.0;17.501824440619625;µg-m3;99.0;100.0;99.0;R;1;43.949673;4.804341
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03087;Avignon Semard;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;21.0;21.200687285223367;µg-m3;98.0;10.0;10.0;N;-1;43.93706;4.824909
2023/01/01 00:00:00;2023/12/31 23:59:59;ATMO SUD;FR93ZAG04;ZAG AVIGNON;FR03091;Avignon Rocade De Gaulle;Urbaine;PM10;Trafic;Oui;mesures fixes;Moy. annuelle;27.0;26.733418664184313;µg-m3;98.0;100.0;98.0;R;1;43.9314;4.826875
2023/01/01 00:00:00;2023/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04002;GENNEVILLIERS;Urbaine;PM10;Fond;Oui;mesures fixes;Moy. annuelle;16.0;15.573271944510914;µg-m3;98.0;98.0;95.0;R;1;48.930319;2.29435
