Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01011;Metz-Centre;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;15.0;15.341811443131803;µg-m3;99.0;100.0;99.0;R;1;49.119442;6.180833
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01012;Metz-Borny;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;13.0;12.850417205312022;µg-m3;97.0;100.0;97.0;R;1;49.110283;6.223336
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR01016;Atton;Rurale près des villes;NO2;Industrielle;Oui;mesures fixes;Moy. annuelle;12.0;12.41221393349347;µg-m3;93.0;97.0;90.0;R;1;48.886387;6.093611
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01018;Scy-Chazelles;Périurbaine;NO2;Fond;Oui;mesures indicatives;Moy. annuelle;10.0;10.061209508273139;µg-m3;;;;R;1;49.107502;6.122775
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01019;Thionville-Piscine;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;13.0;12.89678621332099;µg-m3;98.0;100.0;98.0;R;1;49.36861;6.160831
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01020;Thionville-Centre;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;17.0;16.8792443749248;µg-m3;95.0;100.0;95.0;R;1;49.358337;6.156942
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01064;Metz- Pont Grilles;Urbaine;NO2;Trafic;Oui;mesures fixes;Moy. annuelle;22.0;22.07980625931442;µg-m3;92.0;100.0;92.0;R;1;49.12508;6.181219
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR01065;Belleville sur Meuse;Urbaine;NO2;Trafic;Oui;mesures indicatives;Moy. annuelle;16.0;16.398560224745417;µg-m3;;;;R;1;49.16778;5.387461
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZRE01;ZR PROVENCE-ALPES-COTE D’AZUR;FR02022;Arles;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;14.0;13.570702357563889;µg-m3;96.0;97.0;93.0;R;1;43.675114;4.62921
2021/01/01 00:00:00;2021/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02041;SALON;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. annuelle;12.0;11.985932475884221;µg-m3;99.0;100.0;99.0;R;1;43.639002;5.101097
